GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score
GW 370,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 370,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 370,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 369,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 369,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 369,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 369,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 368,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 368,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 368,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 368,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 367,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 367,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 367,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 367,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 366,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 366,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 366,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 366,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 365,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 365,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 365,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 365,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 364,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 364,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 364,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 364,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 363,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 363,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 363,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 363,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 362,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 362,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 362,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 362,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 361,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 361,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 361,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 361,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 360,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 360,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 360,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 360,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 359,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 359,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 359,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 359,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 358,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 358,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 358,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 358,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 357,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 357,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 357,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 357,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 356,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 356,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 356,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 356,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 355,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 355,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 355,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 355,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 354,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 354,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 354,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 354,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 353,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 353,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 353,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 353,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 352,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 352,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 352,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 352,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 351,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 351,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 351,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 351,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 350,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 350,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 350,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 350,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 349,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 349,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 349,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 349,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 348,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 348,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 348,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 348,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
