Matched Club,Player,Position,games,avg_score,median_score,ceiling,floor,volatility,goals,assists
Futebol Clube do Porto,Thiago Silva,Defender,17,36.06470588235294,39.4,74.1,0.0,26.824800585849434,0.0,0.0
Fußballclub Red Bull Salzburg,Clement Bischoff,Forward,25,35.984,35.5,90.7,0.0,21.77138182722141,0.0,0.0
The Celtic Football Club,Kelechi Iheanacho,Forward,18,35.37777777777777,34.95,72.5,0.0,20.380716247748552,4.0,0.0
Galatasaray Spor Kulübü,Kaan Ayhan,Defender,79,35.288607594936714,35.6,99.7,0.0,24.781460126172348,2.0,4.0
The Celtic Football Club,Luke McCowan,Midfielder,84,35.15119047619047,38.15,100.0,0.0,22.757540755017747,7.0,6.0
Sporting Clube de Braga,Vítor Carvalho,Midfielder,78,34.715384615384615,38.599999999999994,95.5,0.0,23.502688859285524,6.0,3.0
Sport Lisboa e Benfica,Franjo Ivanović,Forward,47,34.39148936170213,35.8,75.7,0.0,22.76798696288883,7.0,3.0
Rangers Football Club,Oliver Antman,Forward,31,33.96451612903226,38.7,77.5,0.0,22.973354832458938,1.0,5.0
Sport Lisboa e Benfica,Gianluca Prestianni,Forward,65,33.79692307692308,38.1,88.1,0.0,24.427053196908854,3.0,7.0
Vitória Sport Clube,Miguel Nogueira,Midfielder,19,33.71052631578947,37.4,64.2,0.0,16.872228817294943,1.0,0.0
Fenerbahçe Spor Kulübü,Oğuz Aydın,Forward,83,33.69036144578313,37.7,94.6,0.0,25.687296919654575,7.0,7.0
Sporting Clube de Braga,Amine El Ouazzani,Forward,85,33.37294117647058,35.0,78.7,0.0,21.06181032916536,13.0,3.0
Rangers Football Club,Max Aarons,Defender,39,33.284615384615385,35.1,76.7,0.0,24.90531055672917,1.0,0.0
Fußballclub Red Bull Salzburg,Jannik Schuster,Defender,40,33.1425,34.6,100.0,0.0,30.59025223909215,0.0,0.0
Fenerbahçe Spor Kulübü,Çağlar Söyüncü,Defender,74,32.67027027027027,36.8,92.7,0.0,27.057962794912786,2.0,2.0
