player_id,player_name,team,position,games,avg_score,median_score,score_volatility,score_floor,score_ceiling,recent_form,longer_form,form_delta,consistency_index,score_per_eur
jakub-piotr-kiwior,Jakub Kiwior,FC Porto,DEF,115,36.69478260869565,39.4,30.68476347280766,0.0,100.0,38.24000000000001,38.17333333333333,0.06666666666667709,1.1581207680526844,
ismail-yuksek,İsmail Yüksek,Fenerbahçe Spor Kulübü,MID,114,36.67192982456141,39.55,26.66108665031421,0.0,99.5,34.68,40.373333333333335,-5.693333333333335,1.3257588282109243,
ebere-paul-onuachu,Paul Onuachu,Trabzonspor Kulübü,FWD,82,36.23780487804878,35.0,25.7738437622805,0.0,92.4,30.6,47.553333333333335,-16.953333333333333,1.3534778644335441,
junior-olaitan-ishola,Junior Olaïtan,Beşiktaş Jimnastik Kulübü,MID,82,36.23048780487805,37.7,23.406871888634768,0.0,87.6,54.52,40.773333333333326,13.746666666666677,1.4844379882105676,
onyinye-wilfred-ndidi,Wilfred Ndidi,Beşiktaş Jimnastik Kulübü,MID,95,36.108421052631584,38.4,25.047290009941303,0.0,97.2,20.4,38.64666666666667,-18.24666666666667,1.3862640235836554,
milot-rashica,Milot Rashica,Beşiktaş Jimnastik Kulübü,MID,98,36.076530612244895,37.4,25.916486815735404,0.0,98.0,14.48,24.27333333333333,-9.79333333333333,1.340313498534085,
evren-eren-elmali,Eren Elmalı,Galatasaray Spor Kulübü,DEF,106,36.0377358490566,38.2,25.91605295061506,0.0,95.8,23.96,31.993333333333332,-8.033333333333331,1.3388937789347417,
ederson-santana-de-moraes,Ederson,Fenerbahçe Spor Kulübü,GK,106,35.87641509433962,35.75,28.44822716674658,0.0,87.9,21.599999999999994,27.586666666666662,-5.986666666666668,1.2182877730192143,
ashton-scally,Ashton Scally,Rangers FC,DEF,1,35.7,35.7,,35.7,35.7,,,,35.7,
archie-brown,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,100,35.674,35.55,25.514886207502826,0.0,88.6,38.2,29.966666666666665,8.233333333333338,1.345432890822871,
clement-bischoff,Clement Bischoff,FC Red Bull Salzburg,FWD,85,35.51764705882353,35.9,25.585208601058227,0.0,100.0,0.0,14.326666666666664,-14.326666666666664,1.3359927917740597,
luke-mccowan,Luke McCowan,Celtic FC,MID,98,35.320408163265306,37.45,24.64439443669235,0.0,100.0,20.56,26.6,-6.040000000000003,1.3773149625529226,
jean-baptiste-gorby-2002-07-25,Jean-Baptiste Gorby,Sporting Braga,MID,101,35.29306930693069,38.7,20.090665780036968,0.0,82.7,33.779999999999994,36.58666666666667,-2.806666666666679,1.6733975909066265,
pablo-paulino-rosario,Pablo Rosario,FC Porto,MID,97,35.21340206185567,38.6,23.262987541308604,0.0,97.2,32.82,25.026666666666664,7.7933333333333366,1.4513217715626978,
thiago-emiliano-da-silva,Thiago Silva,FC Porto,DEF,102,35.148039215686275,41.95,30.624305141899782,0.0,95.0,41.36,23.89333333333333,17.46666666666667,1.1114248695101863,
kristjan-asllani,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,MID,110,35.13636363636363,38.9,27.14778017273093,0.0,100.0,54.8,44.96666666666667,9.833333333333329,1.2482818687920236,
arseniy-batagov,Arsenii Batahov,Trabzonspor Kulübü,MID,77,35.13246753246753,41.0,32.796074225746025,0.0,100.0,0.0,31.28666666666667,-31.28666666666667,1.0395428563032163,
giorgi-kochorashvili,Kochorashvili,Sporting Clube de Portugal,MID,102,35.09019607843137,41.65,28.629481826679,0.0,94.9,31.860000000000003,10.620000000000001,21.240000000000002,1.1843000253495972,
nelson-miguel-castro-oliveira,Nélson Oliveira,Vitória Guimarães SC,FWD,81,35.044444444444444,36.1,18.352997030457995,0.0,72.8,19.8,24.759999999999998,-4.959999999999997,1.8108019336380328,
antonio-joao-pereira-albuquerque-tavares-silva,António Silva,SL Benfica,DEF,116,34.97586206896552,37.55,29.09249005346989,0.0,97.9,61.96,42.660000000000004,19.299999999999997,1.1622787614723342,
andreas-raedergard-schjelderup,Andreas Schjelderup,SL Benfica,FWD,110,34.72,37.55,27.33770390954353,0.0,89.3,68.8,63.77333333333333,5.026666666666664,1.2252227671948765,
wilfried-stephane-singo,Wilfried Singo,Galatasaray Spor Kulübü,DEF,98,34.71530612244898,35.650000000000006,29.81533318955688,0.0,100.0,20.82,40.98,-20.159999999999997,1.126559492603954,
rodrigo-mora-de-carvalho,Rodrigo Mora,FC Porto,MID,95,34.65684210526316,38.5,25.645395475027264,0.0,94.9,32.18,31.873333333333335,0.30666666666666487,1.3006690832472134,
hyun-jun-yang,Yang Hyun-Jun,Celtic FC,FWD,104,34.627884615384616,37.349999999999994,26.103946272847004,0.0,92.8,52.46,54.06666666666667,-1.6066666666666691,1.2775956780166424,
andreas-skov-olsen,Andreas Skov Olsen,Rangers FC,FWD,88,34.565909090909095,39.1,27.152899916522696,0.0,88.6,8.64,30.21333333333333,-21.57333333333333,1.227792134856511,
ousmane-diomande,Ousmane Diomande,Sporting Clube de Portugal,DEF,102,34.55098039215686,37.9,26.837386162944735,0.0,88.7,43.559999999999995,34.940000000000005,8.61999999999999,1.2411718611048623,
alberto-oliveira-baio,Alberto Costa,FC Porto,DEF,100,34.483000000000004,34.25,29.435226113682848,0.0,100.0,52.460000000000015,44.8,7.660000000000018,1.132996346772577,
edmund-baidoo,Edmund Baidoo,FC Red Bull Salzburg,FWD,81,34.41728395061729,38.5,23.82487035706311,0.0,83.6,14.34,31.913333333333334,-17.573333333333334,1.3864033711187125,
